PARID,owner
0010M00299000000,upitt
0010M00300000000,upitt
0010M00301000000,upitt
0010S00027000000,upitt
0027N00001000000,upitt
0027N00053000000,upitt
0027N00201000000,upitt
0027J00202000000,upitt
0026M00080000000,upitt
0026L00006000000,upitt
0051H00268000000,upitt
0029N00305000000,upitt
0029N00309000000,upitt
0028A00245000000,upitt
0027R00110000000,upitt
0028G00282000000,upitt
0028F00159000000,upitt
0027K00100000000,upitt
0027L00302000000,upitt
0028B00294000000,upitt
0010M00270000000,upitt
0010S00036000000,upitt
0028G00310000000,upitt
0028C00299000000,upitt
0227B00030000000,upitt
0175E00090000000,upitt
0028F00368001900,upitt
0028G00205000000,upitt
0056E00012000000,upitt
0028E00019000000,upitt
0051P00013000000,upitt
0051P00013000100,upitt
0051P00013000200,upitt
0027M00163000000,upitt
0051P00013000G00,upitt
0028B00138000000,upitt
0029B00301000000,upitt
0856P00124000000,upmc
0256R00005000000,upmc
0160K00150000000,highmark
0051B00016000000,highmark
0051B00018000000,highmark
0051B00019000000,highmark
0051B00020000000,highmark
0051B00021000000,highmark
0051B00023000000,highmark
0051B00025000000,highmark
0051B00036000000,highmark
0051A00241000000,highmark
0051A00303000000,highmark
0051A00306000000,highmark
0051B00012000000,highmark
0051B00014000000,highmark
0051B00015000000,highmark
0051B00015000A00,highmark
0051E00371000000,highmark
0051F00192000000,highmark
0051F00014000000,highmark
0051F00016000000,highmark
0051F00019000000,highmark
0051F00023000000,highmark
0051F00028000000,highmark
0051F00030000000,highmark
0051F00035000000,highmark
0051F00096000000,highmark
0051E00351000000,highmark
0023P00501000000,highmark
0023L00258000000,highmark
0023M00002000000,highmark
0023M00012000000,highmark
0023M00165000000,highmark
0023L00242000000,highmark
0023L00243000000,highmark
0023L00249000000,highmark
0023P00090000000,highmark
0023M00005000S00,highmark
0023M00010000A00,highmark
0023M00010000S00,highmark
0023H00247000A00,highmark
0023G00174000000,highmark
0023M00005000A00,highmark
0160K00142000000,highmark
0160K00153000000,highmark
0160K00156000000,highmark
0160K00200000000,highmark
0160N00060000000,highmark
0160K00080000000,highmark
0160K00082000000,highmark
0160K00086000000,highmark
0160K00088000000,highmark
0160K00093000000,highmark
0160K00096000000,highmark
0160K00100000000,highmark
0160K00106000000,highmark
0160P00201000000,highmark
0160P00202000000,highmark
0130C00025000000,highmark
0438G00010000000,highmark
0392L00200000000,highmark
0392R00050000000,highmark
0392S00320000000,highmark
0560E00128000000,highmark
0560J00012000000,highmark
0560J00050000000,highmark
0857H00033000000,highmark
0857S00041000001,highmark
0856F00044000000,highmark
0857M00220000000,highmark
0660G00073000000,highmark
0660G00081000000,highmark
0660G00093000000,highmark
0660D00115000000,highmark
0660D00118000000,highmark
0660G00036000000,highmark
1367D00261000000,highmark
1367C00083000001,highmark
0945A00024000000,highmark
0826L00143000000,highmark
0348H00101000000,highmark
0348H00104000000,highmark
0348D00232000000,highmark
1658A00019000000,highmark
1658A00050000000,highmark
1658A00050000100,highmark
1658A00050000200,highmark
1658A00050000300,highmark
1658A00050000400,highmark
0428N00016000000,highmark
0160K00140000000,highmark
0023H00247000S00,highmark
0023L00244000000,highmark
0051A00307000000,highmark
0349J00100000000,highmark
0051F00026000000,highmark
0024J00022000000,highmark
1518S00240000000,highmark
0856N00371000000,highmark
0010R00152000000,ura
0009M00277000000,hacp
0009M00279000000,hacp
0009S00231000000,hacp
0009S00231000A00,hacp
0009M00219000000,hacp
0010J00222000000,hacp
0009M00127000000,hacp
0010N00097000000,hacp
0010N00098000100,hacp
0010N00107000000,hacp
0011A00290000000,hacp
0009M00131000000,hacp
0009S00064000000,hacp
0009S00066000000,hacp
0009M00246000000,hacp
0009M00251000000,hacp
0009S00196000000,hacp
0009M00137000000,hacp
0009M00173000000,hacp
0009M00180000000,hacp
0009M00143000000,hacp
0009M00147000000,hacp
0009M00258000000,hacp
0009M00195000A00,hacp
0002H00108000000,hacp
0002H00108000100,hacp
0002H00108000300,hacp
0009M00202000000,hacp
0009M00203000000,hacp
0009M00204000000,hacp
0009M00206000000,hacp
0009M00207000000,hacp
0009M00312000000,hacp
0009M00324000000,hacp
0009M00330000000,hacp
0011G00153000000,hacp
0011H00300000000,hacp
0011H00125000000,hacp
0011H00130000000,hacp
0011H00180000000,hacp
0011H00225000000,hacp
0011H00230000000,hacp
0011F00300000000,hacp
0011G00300000000,hacp
0011G00400000000,hacp
0011H00179000000,hacp
0011H00215000000,hacp
0010P00251000000,hacp
0010P00275000000,hacp
0011D00360000000,hacp
0028P00220000000,hacp
0010F00210000000,hacp
0010E00005000000,hacp
0010E00010000000,hacp
0010E00015000000,hacp
0010E00025000000,hacp
0010E00030000000,hacp
0010E00035000000,hacp
0028P00174000000,hacp
0028P00176000000,hacp
0010J00358000000,hacp
0010J00360000000,hacp
0010J00362000000,hacp
0010H00252000000,hacp
0010J00206000000,hacp
0010K00228000000,hacp
0010K00230000000,hacp
0010J00241000000,hacp
0010J00242000000,hacp
0010J00243000000,hacp
0010J00268000000,hacp
0010J00275000000,hacp
0010J00323000000,hacp
0010J00328000000,hacp
0010J00330000000,hacp
0010J00332000000,hacp
0010J00346000000,hacp
0010J00348000000,hacp
0010J00350000000,hacp
0010J00351000000,hacp
0010J00352000000,hacp
0010J00354000000,hacp
0010J00356000000,hacp
0010S00078000000,hacp
0010S00101000000,hacp
0010S00111000000,hacp
0010S00125000000,hacp
0011A00295000000,hacp
0011H00320000000,hacp
0011B00060000000,hacp
0011B00080000000,hacp
0011B00100000000,hacp
0011B00120000000,hacp
0011B00140000000,hacp
0011B00160000000,hacp
0011B00180000000,hacp
0011B00200000000,hacp
0011B00220000000,hacp
0011B00240000000,hacp
0010N00300000000,hacp
0010N00301000000,hacp
0011D00195000000,hacp
0011D00215000000,hacp
0011D00300000000,hacp
0011D00310000000,hacp
0010N00013000000,hacp
0010N00014000000,hacp
0010N00015000000,hacp
0011D00320000000,hacp
0011D00340000000,hacp
0010J00006000000,hacp
0010J00007000000,hacp
0010J00007000A00,hacp
0010J00009000000,hacp
0011C00075000000,hacp
0011C00100000001,hacp
0011C00125000000,hacp
0011C00150000000,hacp
0011C00205000000,hacp
0011C00210000000,hacp
0010K00232000000,hacp
0010J00055000000,hacp
0010J00058000000,hacp
0010J00060000000,hacp
0010J00061000000,hacp
0010J00062000A00,hacp
0010J00063000000,hacp
0010J00064000000,hacp
0010J00065000000,hacp
0010J00066000000,hacp
0010J00067000000,hacp
0010J00071000000,hacp
0010J00082000000,hacp
0010K00400000000,hacp
0010K00402000000,hacp
0010N00073000000,hacp
0010J00086000000,hacp
0084A00277000000,hacp
0084A00280000000,hacp
0084A00281000000,hacp
0084A00283000000,hacp
0084A00285000000,hacp
0050S00184000000,hacp
0084A00111000A00,hacp
0084A00111000B00,hacp
0084A00111000C00,hacp
0084A00116000000,hacp
0049C00113000000,hacp
0050D00200000002,hacp
0050D00300000000,hacp
0050D00325000000,hacp
0050C00350000000,hacp
0050C00355000000,hacp
0050C00360000000,hacp
0050C00375000000,hacp
0050C00380000000,hacp
0050C00400000000,hacp
0050C00401000000,hacp
0050D00350000000,hacp
0050D00360000000,hacp
0050D00365000000,hacp
0050H00375000000,hacp
0081F00150000000,hacp
0081C00161000000,hacp
0081F00250000000,hacp
0081L00116000000,hacp
0081L00124000000,hacp
0050S00010000000,hacp
0050S00015000000,hacp
0050S00019000000,hacp
0124E00176000000,hacp
0083G00039000000,hacp
0083K00088000000,hacp
0083L00043000000,hacp
0083H00098000000,hacp
0083S00192000000,hacp
0083S00201000000,hacp
0083R00077000000,hacp
0083R00060000000,hacp
0083S00001000000,hacp
0083S00002000000,hacp
0083S00007000000,hacp
0083S00009000000,hacp
0083S00011000000,hacp
0083S00013000000,hacp
0083S00015000000,hacp
0083S00325000000,hacp
0083S00335000000,hacp
0083M00187000000,hacp
0084D00150000000,hacp
0084D00166000000,hacp
0125H00028000000,hacp
0125H00030000000,hacp
0124N00014000000,hacp
0124L00225000000,hacp
0124J00261000000,hacp
0124J00266000000,hacp
0124J00322000000,hacp
0125H00007000000,hacp
0173G00222000000,hacp
0174H00367000000,hacp
0174H00369000000,hacp
0174H00371000000,hacp
0174H00374000000,hacp
0174G00360000000,hacp
0174H00001000000,hacp
0125S00073000000,hacp
0173L00148000000,hacp
0125M00250000000,hacp
0125M00285000000,hacp
0125M00337000000,hacp
0125M00345000000,hacp
0174C00135000001,hacp
0174C00350000000,hacp
0231P00068000000,hacp
0085N00263000000,hacp
0232D00118000000,hacp
0087K00105000000,hacp
0088C00161000000,hacp
0126C00203000000,hacp
0126C00204000000,hacp
0175E00196000000,hacp
0056C00252000000,hacp
0055P00048000000,hacp
0055P00051000000,hacp
0055P00052000000,hacp
0056B00159000000,hacp
0056B00165000000,hacp
0057D00070000000,hacp
0057D00071000000,hacp
0056M00250000000,hacp
0057D00001000000,hacp
0057C00204000000,hacp
0057D00026000000,hacp
0056S00060000000,hacp
0056S00075000000,hacp
0056S00080000000,hacp
0056S00100000000,hacp
0056S00120000000,hacp
0012L00296000000,hacp
0089J00020000000,hacp
0089J00022000000,hacp
0089J00030000000,hacp
0089K00130000000,hacp
0089K00135000000,hacp
0089N00010000000,hacp
0089N00012000000,hacp
0089N00014000000,hacp
0089N00025000000,hacp
0089N00026000000,hacp
0089P00005000000,hacp
0089P00007000000,hacp
0045A00263000000,hacp
0057H00100000000,hacp
0087J00035000000,hacp
0087J00041000000,hacp
0013R00080000000,hacp
0030P00001000000,hacp
0032G00001000000,hacp
0013R00125000000,hacp
0014B00303000000,hacp
0014J00131000000,hacp
0015R00157000000,hacp
0006R00212000000,hacp
0139A00033000000,hacp
0019B00196000000,hacp
0097L00078000000,hacp
0062F00160000000,hacp
0062F00151000000,hacp
0062D00168000000,hacp
0062F00180000000,hacp
0035N00329000000,hacp
0097H00277000000,hacp
0016B00104000000,hacp
0061A00219000000,hacp
0062K00203000000,hacp
0061P00081000000,hacp
0096K00068000000,hacp
0096K00069000000,hacp
0062M00191000000,hacp
0096P00066000000,hacp
0097C00096000000,hacp
0035C00172000000,hacp
0035E00087000000,hacp
0035E00091000000,hacp
0035G00127000000,hacp
0034A00216000000,hacp
0034A00152000000,hacp
0035D00097000000,hacp
0062L00248000000,hacp
0022R00167000000,hacp
0022R00214000000,hacp
0022R00215000000,hacp
0022R00225000000,hacp
0022R00198000000,hacp
0022R00199000000,hacp
0016P00224000000,hacp
0035D00032000000,hacp
0034J00060000000,hacp
0022R00194000000,hacp
0035C00266000000,hacp
0009A00125000000,hacp
0023K0036000A100,hacp
0023K0036000A200,hacp
0023K0036000A300,hacp
0023K0036300B100,hacp
0024J00389000000,hacp
0022R00285000000,hacp
0022R00286000000,hacp
0022R00287000000,hacp
0022R00317000000,hacp
0022R00319000000,hacp
0022S00007000000,hacp
0023K0036300B300,hacp
0022R00305000000,hacp
0042J00118000000,hacp
0042P00105000000,hacp
0042P00107000000,hacp
0022E00305000000,hacp
0022R00068000000,hacp
0022R00076000000,hacp
0007B00344000000,hacp
0063C00180000000,hacp
0022K00324000000,hacp
0022K00325000000,hacp
0022K00327000000,hacp
0022K00328000000,hacp
0042N00066000000,hacp
0042E00280000000,hacp
0042N00083000000,hacp
0041C00302000000,hacp
0041C00303000000,hacp
0022R00065000000,hacp
0022F00098000000,hacp
0022F00090000000,hacp
0022F00092000000,hacp
0022E00262000000,hacp
0022E00263000000,hacp
0022E00264000000,hacp
0022F00129000000,hacp
0022F00131000000,hacp
0022F00134000000,hacp
0071G00268000000,hacp
0007B00157000000,hacp
0007B00158000000,hacp
0022P00154000000,hacp
0022P00159000000,hacp
0022P00161000000,hacp
0022P00150000000,hacp
0022P00151000000,hacp
0022P00152000000,hacp
0022P00153000000,hacp
0022E00337000000,hacp
0022E00338000000,hacp
0022L00018000000,hacp
0022L00277000000,hacp
0022P00162000000,hacp
0021J00109000000,hacp
0021J00075000000,hacp
0021N00268000000,hacp
0021N00269000000,hacp
0021N00167000000,hacp
0020S00159000000,hacp
0021J00138000000,hacp
0021J00063000000,hacp
0021N00275000100,hacp
0077D00046000000,hacp
0077D00050000000,hacp
0023C00012000000,hacp
0023G00344000000,hacp
0116E00067000000,hacp
0023G00143000000,hacp
0023F00234000000,hacp
0022M00039000000,hacp
0023F00059000000,hacp
0023B00229000000,hacp
0023B00231000000,hacp
0023B00232000000,hacp
0023B00234000000,hacp
0046J00170000000,hacp
0040F00042000000,hacp
0041G00020000000,hacp
0020J00230000000,hacp
0020J00231000000,hacp
0041R00295000000,hacp
0041S00139000000,hacp
0041B00316000000,hacp
0041F00182000000,hacp
0075H00330000000,hacp
0041F00103000000,hacp
0041F00090000000,hacp
0040C00090000000,hacp
0045A00054000000,hacp
0116L00164000000,hacp
0091S00096000000,hacp
0091S00108000000,hacp
0045K00006000000,hacp
0091M00342000000,hacp
0095H00075000000,hacp
0134G00029000000,hacp
0014P00130000000,hacp
0045P00202000000,hacp
0114L00127000000,hacp
0075L00202000000,hacp
0095F00145000000,hacp
0061H00102000000,hacp
0096B00209000000,hacp
0095K00141000000,hacp
0061L00258000000,hacp
0061R00109000000,hacp
0070C00164000000,hacp
0070H00045000000,hacp
0071E00065000000,hacp
0071F00187000000,hacp
0071E00124000000,hacp
0071F00246000000,hacp
0071K00004000000,hacp
0009S00231000B00,hacp
0009M00195000B00,hacp
0004N00094000000,hacp
0023B00235000000,hacp
0010J00107000000,hacp
0114P00347000000,hacp
0125H00005000000,hacp
0124J00300000000,hacp
0083R00063000000,hacp
0010J00059000000,hacp
0041S00138000000,hacp
0055P00049000000,hacp
0011D00207000000,hacp
0010E00020000000,hacp
0017L00030000000,hacp
0059N00082000000,hacp
0125M00353000000,hacp
0022R00251000000,hacp
0011D00350000000,hacp
0055L00007000000,hacp
0011H00175000000,hacp
0011H00235000000,hacp
0014B00263000000,hacp
0010J00223000000,hacp
0002H00108000200,hacp
0089K00125000000,hacp
0023K0036300B200,hacp
0022S00022000000,hacp
0023B00236000000,hacp
0009M00186000000,hacp
0009M00252000000,hacp
0125H00034000000,hacp
0040C00089000000,hacp
0083M00049000000,hacp
0022L00015000000,hacp
0068M00274000000,hacp
0010J00057000000,hacp
0009S00065000000,hacp
0009M00194000000,hacp
0011H00210000000,hacp
0010J00246000000,hacp
0010J00342000000,hacp
0084D00160000000,hacp
0125H00075000000,hacp
0041F00289000000,hacp
0014B00270000000,hacp
0071H00023000000,hacp
0004J00287000000,hacp
0097D00067000A00,hacp
0062B00079000000,hacp
0022R00315000000,hacp
0055P00050000000,hacp
0061B00102000000,hacp
0083S00005000000,hacp
0124E00207000000,hacp
0010N00099000000,hacp
0009M00146000000,hacp
0010N00018000000,hacp
0173P00006000000,hacp
0173L00152000000,hacp
0011C00201000000,hacp
0022K00326000000,hacp
0114P00153000000,hacp
0011D00400000000,hacp
0035M00209000000,hacp
0020L00042000000,hacp
0115B00252000000,hacp
0022R00074000000,hacp
0007B00341000000,hacp
0041F00091000000,hacp
0013F00200000000,hacp
0035E00089000000,hacp
0020G00133000000,hacp
0045A00266000000,hacp
0022R00067000000,hacp
0004N00095000000,hacp
0126D00090000000,hacp
0081L00126000000,hacp
0057D00072000000,hacp
0022E00307000000,hacp
0020S00080000000,hacp
0076A00083000000,hacp
0022R00200000000,hacp
0014B00133000000,hacp
0022R00313000000,hacp
0062F00150000000,hacp
0071F00322000000,hacp
0010J00353000000,hacp
0010K00404000000,hacp
0114P00050000000,hacp
0062D00335000000,hacp
0062G00157000000,hacp
0042P00103000000,hacp
0022R00075000000,hacp
0084A00286000000,hacp
0050M00167000000,ura
0056F00174000000,ura
0015H00291000000,ura
0015M00113000000,ura
0023K00300000000,ura
0024C00167000000,ura
0024C00192000000,ura
0014R00238000000,ura
0124N00222000000,ura
0024C00165000000,ura
0022R00150000000,hacp
0022K00031000A00,hacp
0022L00242000000,hacp
0022K00029000000,hacp
0022K00030000000,hacp
0022K00031000000,hacp
0022L00141000000,hacp
0022P00052000000,hacp
0022R00148000000,hacp
0042P00007000000,ura
0020L00250000000,ura
0024C00133000000,ura
0001M00150000300,ura
0001M00160000000,ura
0002E00077000001,ura
0002J00164000001,ura
0002J00164000002,ura
0002N00297000000,ura
0002P00109000000,ura
0002P00302000000,ura
0009S00117000000,ura
0009S00117000002,ura
0009S00118000000,ura
0002C00300000000,ura
0002C00301000000,ura
0002C00303000000,ura
0002C00305000000,ura
0002D00300000000,ura
0009S00148000000,ura
0002H00301000000,ura
0002H00302000000,ura
0002H00303000000,ura
0002H00304000000,ura
0002H00305000000,ura
0010J00173000000,ura
0010J00179000000,ura
0010J00183000000,ura
0002B00189000000,ura
0002B00190000000,ura
0002B00190000A00,ura
0002B00191000000,ura
0002B00192000000,ura
0002B00192000A00,ura
0002B00192000B00,ura
0002B00193000000,ura
0002B00194000000,ura
0002B00198000000,ura
0002B00199000000,ura
0002H00147000000,ura
0011A00170000000,ura
0009S00181000A00,ura
0002G00056000000,ura
0002G00057000000,ura
0002H00149000000,ura
0002H00150000000,ura
0011E00019000000,ura
0011E00032000000,ura
0011E00033000000,ura
0009M00132000000,ura
0009M00133000000,ura
0002B00203000000,ura
0002B00204000000,ura
0002B00205000000,ura
0002B00206000000,ura
0002B00207000000,ura
0002B00208000000,ura
0002B00209000000,ura
0011E00045000000,ura
0002B00210000000,ura
0002B00213000000,ura
0002B00218000000,ura
0002B00219000000,ura
0002H00151000000,ura
0009S00187000000,ura
0009S00200000000,ura
0009M00139000000,ura
0002D00035000000,ura
0011E00046000000,ura
0002B00220000000,ura
0002B00221000000,ura
0002B00222000000,ura
0002B00223000000,ura
0002B00224000000,ura
0002B00225000000,ura
0002B00229000000,ura
0002B00230000000,ura
0011E00052000A00,ura
0011E00073000000,ura
0002B00231000000,ura
0002B00232000000,ura
0002H00253000000,ura
0002H00254000000,ura
0011A00200000000,ura
0011A00201000000,ura
0011A00207000000,ura
0011A00208000000,ura
0011A00210000000,ura
0009S00220000000,ura
0011A00210000A00,ura
0009S00097000000,ura
0009S00101000000,ura
0011E00085000000,ura
0002B00233000000,ura
0002B00234000000,ura
0002B00236000000,ura
0002B00237000000,ura
0002B00238000000,ura
0002B00250000000,ura
0002B00252000000,ura
0002B00255000000,ura
0002C00298000000,ura
0002H00261000000,ura
0009S00109000000,ura
0009S00110000000,ura
0009S00111000000,ura
0009S00112000000,ura
0011A00212000000,ura
0011A00217000000,ura
0011A00217000A00,ura
0011A00221000000,ura
0011A00222000001,ura
0009S00113000000,ura
0009S00114000000,ura
0009S00116000000,ura
0009R00160000000,ura
0002B00118000000,ura
0001D00183000000,ura
0011A00151000000,ura
0011A00169000000,ura
0002B00119000000,ura
0002B00123000000,ura
0002B00126000000,ura
0002B00130000000,ura
0002B00132000000,ura
0002B00133000000,ura
0002B00134000000,ura
0002B00135000000,ura
0002B00137000000,ura
0002B00138000000,ura
0002B00139000000,ura
0002B00142000000,ura
0002B00144000000,ura
0002B00149000000,ura
0002B00152000000,ura
0002B00153000000,ura
0002B00154000000,ura
0002B00155000000,ura
0002B00156000000,ura
0002B00157000000,ura
0002B00158000000,ura
0002B00159000000,ura
0002B00166000000,ura
0002B00169000000,ura
0002B00170000000,ura
0009M00325000000,ura
0009P00116000000,ura
0002B00173000000,ura
0010N00376000002,ura
0010N00500000000,ura
0009P00118000000,ura
0009P00119000000,ura
0009P00121000000,ura
0009R00099000000,ura
0011A00015000000,ura
0011A00021000000,ura
0002F00240000200,ura
0011A00024000000,ura
0011A00026000000,ura
0011A00027000000,ura
0011E00358000000,ura
0011E00360000000,ura
0011E00361000000,ura
0011R00015000000,ura
0011S00030000000,ura
0011S00040000000,ura
0011S00042000000,ura
0011S00044000000,ura
0011S00046000000,ura
0011M00104000000,ura
0011M00105000000,ura
0011M00106000000,ura
0011L00023000000,ura
0011L00024000000,ura
0011E00297000B00,ura
0011E00298000000,ura
0011E00298000A00,ura
0011M00107000000,ura
0011M00108000000,ura
0002B00181000000,ura
0002B00186000000,ura
0002F00154000000,ura
0002H00309000000,ura
0002H00312000000,ura
0002H00314000000,ura
0002H00316000000,ura
0002H00318000000,ura
0025P00010000000,ura
0002F00156000000,ura
0002F00158000000,ura
0002H00322000000,ura
0002H00323000000,ura
0002H00324000000,ura
0002H00324000A00,ura
0002H00325000000,ura
0002H00327000000,ura
0002H00328000000,ura
0002H00330000002,ura
0002H00336000000,ura
0002H00337000000,ura
0002H00340000000,ura
0009M00095000000,ura
0009M00097000000,ura
0029B00315000000,ura
0029A00303000000,ura
0029A00305000000,ura
0029B00305000000,ura
0029B00305000100,ura
0029B00305000200,ura
0029B00305000300,ura
0029B00307000000,ura
0028N00320000000,ura
0028N00325000000,ura
0029F00101000000,ura
0029F00105000000,ura
0010N00344000000,ura
0010N00345000000,ura
0010N00348000000,ura
